City_Bangalore,City_New Delhi,City_Pune,EverBenched_T.Yes,PaymentTier,Age,ExperienceInCurrentDomain
0.0,0.0,1.0,0.0,3.0,27.0,5.0
0.0,0.0,1.0,0.0,3.0,28.0,1.0
0.0,1.0,0.0,0.0,3.0,38.0,0.0
1.0,0.0,0.0,0.0,3.0,32.0,0.0
0.0,0.0,1.0,0.0,3.0,29.0,2.0
1.0,0.0,0.0,0.0,3.0,33.0,6.0
1.0,0.0,0.0,0.0,3.0,35.0,5.0
0.0,0.0,1.0,0.0,2.0,39.0,2.0
1.0,0.0,0.0,0.0,3.0,28.0,3.0
1.0,0.0,0.0,0.0,3.0,27.0,5.0
0.0,1.0,0.0,0.0,2.0,37.0,4.0
0.0,1.0,0.0,0.0,3.0,25.0,3.0
0.0,0.0,1.0,0.0,3.0,24.0,2.0
1.0,0.0,0.0,0.0,3.0,36.0,5.0
1.0,0.0,0.0,0.0,3.0,36.0,4.0
1.0,0.0,0.0,0.0,3.0,28.0,2.0
1.0,0.0,0.0,0.0,3.0,28.0,2.0
0.0,1.0,0.0,0.0,2.0,40.0,3.0
0.0,0.0,1.0,0.0,2.0,24.0,2.0
1.0,0.0,0.0,0.0,3.0,28.0,1.0
1.0,0.0,0.0,0.0,3.0,37.0,3.0
0.0,0.0,1.0,0.0,3.0,26.0,4.0
0.0,1.0,0.0,0.0,2.0,30.0,2.0
0.0,1.0,0.0,0.0,3.0,34.0,1.0
1.0,0.0,0.0,0.0,3.0,40.0,4.0
0.0,0.0,1.0,1.0,3.0,24.0,2.0
1.0,0.0,0.0,1.0,3.0,34.0,5.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
0.0,1.0,0.0,0.0,3.0,35.0,5.0
0.0,1.0,0.0,0.0,1.0,23.0,1.0
0.0,1.0,0.0,0.0,3.0,34.0,3.0
1.0,0.0,0.0,0.0,3.0,33.0,5.0
1.0,0.0,0.0,1.0,3.0,29.0,2.0
1.0,0.0,0.0,0.0,3.0,41.0,5.0
1.0,0.0,0.0,1.0,3.0,25.0,3.0
0.0,0.0,1.0,0.0,3.0,26.0,4.0
0.0,0.0,1.0,0.0,2.0,32.0,1.0
0.0,1.0,0.0,0.0,3.0,24.0,2.0
1.0,0.0,0.0,0.0,3.0,36.0,5.0
1.0,0.0,0.0,0.0,3.0,27.0,5.0
1.0,0.0,0.0,0.0,2.0,26.0,4.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
1.0,0.0,0.0,0.0,3.0,27.0,5.0
0.0,0.0,1.0,0.0,2.0,28.0,1.0
1.0,0.0,0.0,0.0,3.0,22.0,0.0
0.0,1.0,0.0,1.0,3.0,26.0,4.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
0.0,1.0,0.0,0.0,3.0,28.0,5.0
1.0,0.0,0.0,0.0,3.0,24.0,2.0
0.0,1.0,0.0,1.0,3.0,28.0,2.0
0.0,1.0,0.0,0.0,3.0,29.0,1.0
1.0,0.0,0.0,0.0,3.0,25.0,3.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
0.0,1.0,0.0,1.0,2.0,22.0,0.0
0.0,1.0,0.0,0.0,3.0,28.0,3.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
0.0,0.0,1.0,0.0,3.0,40.0,2.0
1.0,0.0,0.0,1.0,3.0,28.0,4.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
1.0,0.0,0.0,0.0,3.0,38.0,0.0
0.0,0.0,1.0,0.0,2.0,31.0,2.0
0.0,0.0,1.0,0.0,3.0,35.0,5.0
0.0,1.0,0.0,0.0,3.0,27.0,5.0
1.0,0.0,0.0,0.0,3.0,25.0,3.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
1.0,0.0,0.0,0.0,3.0,26.0,4.0
1.0,0.0,0.0,0.0,3.0,24.0,2.0
